Trial,Emotion,Congruent,Incongruent,StimTime_s,StimEnd_s,Baseline200ms,PeakDelta,PeakTime_s,HasBaselineWindow,HasPostWindow,DeltaHasData,DeltaAllNaN,Evaluable,DropReason
17,HA,1,0,106.849684199979,109.599684199979,336.028853757495,67.6698272068077,2.0343158000214,1,1,1,0,1,
18,AN,0,1,113.598883999986,116.348883999986,335.518052479356,31.3782283405935,0.895116000014355,1,1,1,0,1,
19,AN,0,1,119.949386499947,122.699386499947,345.112193115605,6.05148570609487,0.704613500053071,1,1,1,0,1,
20,HA,1,0,124.698619299997,127.448619299997,344.049186353165,13.5813867862322,0.885380700003353,1,1,1,0,1,
21,HA,1,0,129.848637000038,132.598637000038,332.949554381522,112.098312877792,2.22536299996167,1,1,1,0,1,
22,AN,0,1,136.998920399984,139.748920399984,312.992294626472,41.7109232730497,1.99507960001566,1,1,1,0,1,
23,HA,0,1,144.14859140004,146.89859140004,422.243550284675,-1.29806191054809,0.00540859995967935,1,1,1,0,1,
24,HA,0,1,150.497788100047,153.247788100047,344.812373381149,3.22608311501443,0.246211899952954,1,1,1,0,1,
25,HA,0,1,156.047614299958,158.797614299958,326.80197518208,22.1981941050591,2.19638570004236,1,1,1,0,1,
26,AN,0,1,171.996965899981,174.746965899981,330.615990885733,3.47820730127972,2.74703410001936,1,1,1,0,1,
27,HA,1,0,177.548306399989,180.298306399989,279.729753216462,65.6487285827922,2.74569360001104,1,1,1,0,1,
28,HA,0,1,182.69775690002,185.44775690002,371.648422283254,17.2293714110584,0.196243099980023,1,1,1,0,1,
29,AN,1,0,189.447442300046,192.197442300046,312.343043433912,45.9388458139736,2.74655769995414,1,1,1,0,1,
30,HA,0,1,194.597806999936,197.347806999936,279.180019369428,67.0128520199087,1.85619300006422,1,1,1,0,1,
31,AN,0,1,200.947438499994,203.697438499994,341.463066279256,22.9344040478761,2.49656150000635,1,1,1,0,1,
32,HA,0,1,210.897200099949,213.647200099949,355.294128691748,82.1782959003978,1.58679990005118,1,1,1,0,1,
33,AN,0,1,215.647959400025,218.397959400025,388.659291139448,28.6111849559784,0.346040599974799,1,1,1,0,1,
34,AN,0,1,220.39686309999,223.14686309999,316.975479047367,-3.04407054626273,0.00713690000958422,1,1,1,0,1,
35,AN,1,0,225.146708699979,227.896708699979,332.779299817363,6.16234595226899,1.36729130002109,1,1,1,0,1,
36,AN,0,1,235.09555830002,237.84555830002,426.236241924135,17.9184340108022,0.568441699979815,1,1,1,0,1,
37,AN,1,0,239.846418099978,242.596418099978,335.92654228489,1.10400539136299,0.747581900021999,1,1,1,0,1,
38,AN,1,0,244.9965249,247.7465249,331.760767449113,4.83016129021979,0.607475100000386,1,1,1,0,1,
39,HA,0,1,250.145655000059,252.895655000059,324.953433272157,34.8800924151953,1.16834499994107,1,1,1,0,1,
40,HA,1,0,255.294595099952,258.044595099952,377.581498686546,8.33870914104881,0.199404900047938,1,1,1,0,1,
41,HA,0,1,260.844339799963,263.594339799963,300.673414414885,46.2807867048189,1.9496602000371,1,1,1,0,1,
42,AN,1,0,266.797012900037,269.547012900037,277.748219911198,34.4594523978607,1.89698709996327,1,1,1,0,1,
43,HA,1,0,274.345553600009,277.095553600009,347.482235140269,10.8320184579414,2.28844639999141,1,1,1,0,1,
44,HA,1,0,280.294279799995,283.044279799995,344.797721251338,76.7397549010684,2.139720200005,1,1,1,0,1,
45,HA,0,1,285.04521959998,287.79521959998,299.718056730189,33.677286732638,2.57878040002009,1,1,1,0,1,
46,HA,1,0,290.194975700056,292.944975700056,265.091244192306,36.5852550916966,1.7590242999438,1,1,1,0,1,
47,AN,1,0,295.745096199902,298.495096199902,302.852352799221,11.3420829229711,0.498903800098276,1,1,1,0,1,
48,AN,0,1,301.29538080009,304.04538080009,334.399631493125,21.1028328301954,0.368619199910256,1,1,1,0,1,
49,HA,1,0,309.246113599989,311.996113599989,376.084770509307,4.68552077178555,0.317886400011389,1,1,1,0,1,
50,HA,1,0,318.394538499987,321.144538499987,317.69933168478,-2.56186848050919,0.00946150001323076,1,1,1,0,1,
51,AN,1,0,323.142368299948,325.892368299948,306.19964797304,38.8444737126733,0.801631700051985,1,1,1,0,1,
52,HA,0,1,328.294472199948,331.044472199948,341.840839937258,30.5035512570032,1.51952780005246,1,1,1,0,1,
53,HA,1,0,335.844841399988,338.594841399988,300.631289424222,44.0369974710484,0.919158600011826,1,1,1,0,1,
54,HA,1,0,344.193960900035,346.943960900035,299.563409883603,87.5055691898606,1.07003909996524,1,1,1,0,1,
55,HA,0,1,350.545480099961,353.295480099961,294.256771387823,62.2378813235406,2.47851990003886,1,1,1,0,1,
56,AN,0,1,356.495437799965,359.245437799965,307.987421787779,34.3580127607635,2.54856220003501,1,1,1,0,1,
